timestamp,meter_id,meter_value,panel_value,panel_meter_diff
45087,meter,8686.92,2623.84,-6063.08
45088,meter,8687.0,2624.0,-6063.0
45089,meter,8687.08,2624.16,-6062.92
45090,meter,8687.16,2624.32,-6062.84
45091,meter,8687.24,2624.48,-6062.76
45092,meter,8687.32,2624.64,-6062.68
45093,meter,8687.4,2624.79,-6062.61
45094,meter,8687.48,2624.95,-6062.53
45095,meter,8687.55,2625.11,-6062.44
45096,meter,8687.63,2625.27,-6062.36
45097,meter,8687.71,2625.43,-6062.28
45098,meter,8687.79,2625.58,-6062.21
45099,meter,8687.87,2625.74,-6062.13
45100,meter,8687.95,2625.9,-6062.05
45101,meter,8688.03,2626.06,-6061.97
45102,meter,8688.11,2626.22,-6061.89
45103,meter,8688.19,2626.37,-6061.82
45104,meter,8688.27,2626.53,-6061.74
45105,meter,8688.34,2626.69,-6061.65
45106,meter,8688.42,2626.85,-6061.57
45107,meter,8688.5,2627.01,-6061.49
45108,meter,8688.58,2627.16,-6061.42
45109,meter,8688.66,2627.32,-6061.34
45110,meter,8688.74,2627.48,-6061.26
45111,meter,8688.82,2627.64,-6061.18
45112,meter,8688.9,2627.79,-6061.11
45113,meter,8688.98,2627.95,-6061.03
45114,meter,8689.06,2628.11,-6060.95
45115,meter,8689.13,2628.27,-6060.86
45116,meter,8689.21,2628.43,-6060.78
45117,meter,8689.29,2628.58,-6060.71
45118,meter,8689.37,2628.74,-6060.63
45119,meter,8689.45,2628.9,-6060.55
45120,meter,8689.53,2629.06,-6060.47
45121,meter,8689.61,2629.21,-6060.4
45122,meter,8689.69,2629.37,-6060.32
45123,meter,8689.76,2629.53,-6060.23
45124,meter,8689.84,2629.69,-6060.15
45125,meter,8689.92,2629.84,-6060.08
45126,meter,8690.0,2630.0,-6060.0
45127,meter,8690.08,2630.16,-6059.92
45128,meter,8690.16,2630.32,-6059.84
45129,meter,8690.24,2630.47,-6059.77
45130,meter,8690.32,2630.63,-6059.69
45131,meter,8690.39,2630.79,-6059.6
45132,meter,8690.47,2630.95,-6059.52
45133,meter,8690.55,2631.1,-6059.45
45134,meter,8690.63,2631.26,-6059.37
45135,meter,8690.71,2631.42,-6059.29
45136,meter,8690.79,2631.58,-6059.21
45137,meter,8690.87,2631.73,-6059.14
45138,meter,8690.94,2631.89,-6059.05
45139,meter,8691.02,2632.05,-6058.97
45140,meter,8691.1,2632.2,-6058.9
45141,meter,8691.18,2632.36,-6058.82
45142,meter,8691.26,2632.52,-6058.74
45143,meter,8691.34,2632.68,-6058.66
45144,meter,8691.42,2632.83,-6058.59
45145,meter,8691.49,2632.99,-6058.5
45146,meter,8691.57,2633.15,-6058.42
45147,meter,8691.65,2633.3,-6058.35
45148,meter,8691.73,2633.46,-6058.27
45149,meter,8691.81,2633.62,-6058.19
45150,meter,8691.89,2633.78,-6058.11
45151,meter,8691.97,2633.93,-6058.04
45152,meter,8692.04,2634.09,-6057.95
45153,meter,8692.12,2634.25,-6057.87
45154,meter,8692.2,2634.4,-6057.8
45155,meter,8692.28,2634.56,-6057.72
45156,meter,8692.36,2634.72,-6057.64
45157,meter,8692.44,2634.87,-6057.57
45158,meter,8692.52,2635.03,-6057.49
45159,meter,8692.59,2635.19,-6057.4
45160,meter,8692.67,2635.34,-6057.33
45161,meter,8692.75,2635.5,-6057.25
45162,meter,8692.83,2635.66,-6057.17
45163,meter,8692.91,2635.81,-6057.1
45164,meter,8692.99,2635.97,-6057.02
45165,meter,8693.06,2636.13,-6056.93
45166,meter,8693.14,2636.28,-6056.86
45167,meter,8693.22,2636.44,-6056.78
45168,meter,8693.3,2636.6,-6056.7
45169,meter,8693.38,2636.75,-6056.63
45170,meter,8693.46,2636.91,-6056.55
45171,meter,8693.53,2637.07,-6056.46
45172,meter,8693.61,2637.22,-6056.39
45173,meter,8693.69,2637.38,-6056.31
45174,meter,8693.77,2637.54,-6056.23
45175,meter,8693.85,2637.69,-6056.16
45176,meter,8693.93,2637.85,-6056.08
45177,meter,8694.0,2638.01,-6055.99
45178,meter,8694.08,2638.16,-6055.92
45179,meter,8694.16,2638.32,-6055.84
45180,meter,8694.24,2638.48,-6055.76
45181,meter,8694.32,2638.63,-6055.69
45182,meter,8694.39,2638.79,-6055.6
45183,meter,8694.47,2638.95,-6055.52
45184,meter,8694.55,2639.1,-6055.45
45185,meter,8694.63,2639.26,-6055.37
45186,meter,8694.71,2639.41,-6055.3
45187,meter,8694.79,2639.57,-6055.22
45188,meter,8694.86,2639.73,-6055.13
45189,meter,8694.94,2639.88,-6055.06
45190,meter,8695.02,2640.04,-6054.98
45191,meter,8695.1,2640.2,-6054.9
45192,meter,8695.18,2640.35,-6054.83
45193,meter,8695.25,2640.51,-6054.74
45194,meter,8695.33,2640.66,-6054.67
45195,meter,8695.41,2640.82,-6054.59
45196,meter,8695.49,2640.98,-6054.51
45197,meter,8695.57,2641.13,-6054.44
45198,meter,8695.64,2641.29,-6054.35
45199,meter,8695.72,2641.44,-6054.28
45200,meter,8695.8,2641.6,-6054.2
45201,meter,8695.88,2641.76,-6054.12
45202,meter,8695.96,2641.91,-6054.05
45203,meter,8696.03,2642.07,-6053.96
45204,meter,8696.11,2642.22,-6053.89
45205,meter,8696.19,2642.38,-6053.81
45206,meter,8696.27,2642.54,-6053.73
45207,meter,8696.35,2642.69,-6053.66
45208,meter,8696.42,2642.85,-6053.57
45209,meter,8696.5,2643.0,-6053.5
45210,meter,8696.58,2643.16,-6053.42
45211,meter,8696.66,2643.31,-6053.35
45212,meter,8696.74,2643.47,-6053.27
45213,meter,8696.81,2643.63,-6053.18
45214,meter,8696.89,2643.78,-6053.11
45215,meter,8696.97,2643.94,-6053.03
45216,meter,8697.05,2644.09,-6052.96
45217,meter,8697.12,2644.25,-6052.87
45218,meter,8697.2,2644.4,-6052.8
45219,meter,8697.28,2644.56,-6052.72
45220,meter,8697.36,2644.72,-6052.64
45221,meter,8697.44,2644.87,-6052.57
45222,meter,8697.51,2645.03,-6052.48
45223,meter,8697.59,2645.18,-6052.41
45224,meter,8697.67,2645.34,-6052.33
45225,meter,8697.75,2645.49,-6052.26
45226,meter,8697.82,2645.65,-6052.17
45227,meter,8697.9,2645.8,-6052.1
45228,meter,8697.98,2645.96,-6052.02
45229,meter,8698.06,2646.12,-6051.94
45230,meter,8698.14,2646.27,-6051.87
45231,meter,8698.21,2646.43,-6051.78
45232,meter,8698.29,2646.58,-6051.71
45233,meter,8698.37,2646.74,-6051.63
45234,meter,8698.45,2646.89,-6051.56
45235,meter,8698.52,2647.05,-6051.47
45236,meter,8698.6,2647.2,-6051.4
45237,meter,8698.68,2647.36,-6051.32
45238,meter,8698.76,2647.51,-6051.25
45239,meter,8698.83,2647.67,-6051.16
45240,meter,8698.91,2647.82,-6051.09
45241,meter,8698.99,2647.98,-6051.01
45242,meter,8699.07,2648.13,-6050.94
45243,meter,8699.14,2648.29,-6050.85
45244,meter,8699.22,2648.44,-6050.78
45245,meter,8699.3,2648.6,-6050.7
45246,meter,8699.38,2648.75,-6050.63
45247,meter,8699.45,2648.91,-6050.54
45248,meter,8699.53,2649.06,-6050.47
45249,meter,8699.61,2649.22,-6050.39
45250,meter,8699.69,2649.38,-6050.31
45251,meter,8699.76,2649.53,-6050.23
45252,meter,8699.84,2649.68,-6050.16
45253,meter,8699.92,2649.84,-6050.08
45254,meter,8700.0,2649.99,-6050.01
45255,meter,8700.07,2650.15,-6049.92
45256,meter,8700.15,2650.3,-6049.85
45257,meter,8700.23,2650.46,-6049.77
45258,meter,8700.31,2650.61,-6049.7
45259,meter,8700.38,2650.77,-6049.61
45260,meter,8700.46,2650.92,-6049.54
45261,meter,8700.54,2651.08,-6049.46
45262,meter,8700.62,2651.23,-6049.39
45263,meter,8700.69,2651.39,-6049.3
45264,meter,8700.77,2651.54,-6049.23
45265,meter,8700.85,2651.7,-6049.15
45266,meter,8700.93,2651.85,-6049.08
45267,meter,8701.0,2652.01,-6048.99
45268,meter,8701.08,2652.16,-6048.92
45269,meter,8701.16,2652.32,-6048.84
45270,meter,8701.24,2652.47,-6048.77
45271,meter,8701.31,2652.63,-6048.68
45272,meter,8701.39,2652.78,-6048.61
45273,meter,8701.47,2652.93,-6048.54
45274,meter,8701.54,2653.09,-6048.45
45275,meter,8701.62,2653.24,-6048.38
45276,meter,8701.7,2653.4,-6048.3
45277,meter,8701.78,2653.55,-6048.23
45278,meter,8701.85,2653.71,-6048.14
45279,meter,8701.93,2653.86,-6048.07
45280,meter,8702.01,2654.02,-6047.99
45281,meter,8702.09,2654.17,-6047.92
45282,meter,8702.16,2654.32,-6047.84
45283,meter,8702.24,2654.48,-6047.76
45284,meter,8702.32,2654.63,-6047.69
45285,meter,8702.39,2654.79,-6047.6
45286,meter,8702.47,2654.94,-6047.53
45287,meter,8702.55,2655.1,-6047.45
45288,meter,8702.63,2655.25,-6047.38
45289,meter,8702.7,2655.4,-6047.3
45290,meter,8702.78,2655.56,-6047.22
45291,meter,8702.86,2655.71,-6047.15
45292,meter,8702.93,2655.87,-6047.06
45293,meter,8703.01,2656.02,-6046.99
45294,meter,8703.09,2656.18,-6046.91
45295,meter,8703.16,2656.33,-6046.83
45296,meter,8703.24,2656.48,-6046.76
45297,meter,8703.32,2656.64,-6046.68
45298,meter,8703.4,2656.79,-6046.61
45299,meter,8703.47,2656.95,-6046.52
45300,meter,8703.55,2657.1,-6046.45
45301,meter,8703.63,2657.25,-6046.38
45302,meter,8703.7,2657.41,-6046.29
45303,meter,8703.78,2657.56,-6046.22
45304,meter,8703.86,2657.72,-6046.14
45305,meter,8703.93,2657.87,-6046.06
45306,meter,8704.01,2658.02,-6045.99
45307,meter,8704.09,2658.18,-6045.91
45308,meter,8704.17,2658.33,-6045.84
45309,meter,8704.24,2658.49,-6045.75
45310,meter,8704.32,2658.64,-6045.68
45311,meter,8704.4,2658.79,-6045.61
45312,meter,8704.47,2658.95,-6045.52
45313,meter,8704.55,2659.1,-6045.45
45314,meter,8704.63,2659.25,-6045.38
45315,meter,8704.7,2659.41,-6045.29
45316,meter,8704.78,2659.56,-6045.22
45317,meter,8704.86,2659.72,-6045.14
45318,meter,8704.93,2659.87,-6045.06
45319,meter,8705.01,2660.02,-6044.99
45320,meter,8705.09,2660.18,-6044.91
45321,meter,8705.16,2660.33,-6044.83
45322,meter,8705.24,2660.48,-6044.76
45323,meter,8705.32,2660.64,-6044.68
45324,meter,8705.4,2660.79,-6044.61
45325,meter,8705.47,2660.94,-6044.53
45326,meter,8705.55,2661.1,-6044.45
45327,meter,8705.63,2661.25,-6044.38
45328,meter,8705.7,2661.4,-6044.3
45329,meter,8705.78,2661.56,-6044.22
45330,meter,8705.86,2661.71,-6044.15
45331,meter,8705.93,2661.86,-6044.07
45332,meter,8706.01,2662.02,-6043.99
45333,meter,8706.09,2662.17,-6043.92
45334,meter,8706.16,2662.32,-6043.84
45335,meter,8706.24,2662.48,-6043.76
45336,meter,8706.32,2662.63,-6043.69
45337,meter,8706.39,2662.78,-6043.61
45338,meter,8706.47,2662.94,-6043.53
45339,meter,8706.55,2663.09,-6043.46
45340,meter,8706.62,2663.24,-6043.38
45341,meter,8706.7,2663.4,-6043.3
45342,meter,8706.78,2663.55,-6043.23
45343,meter,8706.85,2663.7,-6043.15
45344,meter,8706.93,2663.86,-6043.07
45345,meter,8707.0,2664.01,-6042.99
45346,meter,8707.08,2664.16,-6042.92
45347,meter,8707.16,2664.32,-6042.84
45348,meter,8707.23,2664.47,-6042.76
45349,meter,8707.31,2664.62,-6042.69
45350,meter,8707.39,2664.78,-6042.61
45351,meter,8707.46,2664.93,-6042.53
45352,meter,8707.54,2665.08,-6042.46
45353,meter,8707.62,2665.23,-6042.39
45354,meter,8707.69,2665.39,-6042.3
45355,meter,8707.77,2665.54,-6042.23
45356,meter,8707.85,2665.69,-6042.16
45357,meter,8707.92,2665.85,-6042.07
45358,meter,8708.0,2666.0,-6042.0
45359,meter,8708.08,2666.15,-6041.93
45360,meter,8708.15,2666.3,-6041.85
45361,meter,8708.23,2666.46,-6041.77
45362,meter,8708.3,2666.61,-6041.69
45363,meter,8708.38,2666.76,-6041.62
45364,meter,8708.46,2666.92,-6041.54
45365,meter,8708.53,2667.07,-6041.46
45366,meter,8708.61,2667.22,-6041.39
45367,meter,8708.69,2667.37,-6041.32
45368,meter,8708.76,2667.53,-6041.23
45369,meter,8708.84,2667.68,-6041.16
45370,meter,8708.92,2667.83,-6041.09
45371,meter,8708.99,2667.98,-6041.01
45372,meter,8709.07,2668.14,-6040.93
45373,meter,8709.14,2668.29,-6040.85
45374,meter,8709.22,2668.44,-6040.78
45375,meter,8709.3,2668.59,-6040.71
45376,meter,8709.37,2668.75,-6040.62
45377,meter,8709.45,2668.9,-6040.55
45378,meter,8709.53,2669.05,-6040.48
45379,meter,8709.6,2669.2,-6040.4
45380,meter,8709.68,2669.36,-6040.32
45381,meter,8709.75,2669.51,-6040.24
45382,meter,8709.83,2669.66,-6040.17
45383,meter,8709.91,2669.81,-6040.1
45384,meter,8709.98,2669.97,-6040.01
45385,meter,8710.06,2670.12,-6039.94
45386,meter,8710.14,2670.27,-6039.87
45387,meter,8710.21,2670.42,-6039.79
45388,meter,8710.29,2670.57,-6039.72
45389,meter,8710.36,2670.73,-6039.63
45390,meter,8710.44,2670.88,-6039.56
45391,meter,8710.52,2671.03,-6039.49
45392,meter,8710.59,2671.18,-6039.41
45393,meter,8710.67,2671.34,-6039.33
45394,meter,8710.74,2671.49,-6039.25
45395,meter,8710.82,2671.64,-6039.18
45396,meter,8710.9,2671.79,-6039.11
45397,meter,8710.97,2671.94,-6039.03
45398,meter,8711.05,2672.1,-6038.95
45399,meter,8711.12,2672.25,-6038.87
45400,meter,8711.2,2672.4,-6038.8
45401,meter,8711.28,2672.55,-6038.73
45402,meter,8711.35,2672.7,-6038.65
45403,meter,8711.43,2672.86,-6038.57
45404,meter,8711.5,2673.01,-6038.49
45405,meter,8711.58,2673.16,-6038.42
45406,meter,8711.66,2673.31,-6038.35
45407,meter,8711.73,2673.46,-6038.27
45408,meter,8711.81,2673.62,-6038.19
45409,meter,8711.88,2673.77,-6038.11
45410,meter,8711.96,2673.92,-6038.04
45411,meter,8712.04,2674.07,-6037.97
45412,meter,8712.11,2674.22,-6037.89
45413,meter,8712.19,2674.37,-6037.82
45414,meter,8712.26,2674.53,-6037.73
45415,meter,8712.34,2674.68,-6037.66
45416,meter,8712.41,2674.83,-6037.58
45417,meter,8712.49,2674.98,-6037.51
45418,meter,8712.57,2675.13,-6037.44
45419,meter,8712.64,2675.28,-6037.36
45420,meter,8712.72,2675.44,-6037.28
45421,meter,8712.79,2675.59,-6037.2
45422,meter,8712.87,2675.74,-6037.13
45423,meter,8712.95,2675.89,-6037.06
45424,meter,8713.02,2676.04,-6036.98
45425,meter,8713.1,2676.19,-6036.91
45426,meter,8713.17,2676.35,-6036.82
45427,meter,8713.25,2676.5,-6036.75
45428,meter,8713.32,2676.65,-6036.67
45429,meter,8713.4,2676.8,-6036.6
45430,meter,8713.48,2676.95,-6036.53
45431,meter,8713.55,2677.1,-6036.45
45432,meter,8713.63,2677.25,-6036.38
45433,meter,8713.7,2677.41,-6036.29
45434,meter,8713.78,2677.56,-6036.22
45435,meter,8713.85,2677.71,-6036.14
45436,meter,8713.93,2677.86,-6036.07
45437,meter,8714.01,2678.01,-6036.0
45438,meter,8714.08,2678.16,-6035.92
45439,meter,8714.16,2678.31,-6035.85
45440,meter,8714.23,2678.46,-6035.77
45441,meter,8714.31,2678.62,-6035.69
45442,meter,8714.38,2678.77,-6035.61
45443,meter,8714.46,2678.92,-6035.54
45444,meter,8714.53,2679.07,-6035.46
45445,meter,8714.61,2679.22,-6035.39
45446,meter,8714.69,2679.37,-6035.32
45447,meter,8714.76,2679.52,-6035.24
45448,meter,8714.84,2679.67,-6035.17
45449,meter,8714.91,2679.82,-6035.09
45450,meter,8714.99,2679.97,-6035.02
45451,meter,8715.06,2680.13,-6034.93
45452,meter,8715.14,2680.28,-6034.86
45453,meter,8715.21,2680.43,-6034.78
45454,meter,8715.29,2680.58,-6034.71
45455,meter,8715.36,2680.73,-6034.63
45456,meter,8715.44,2680.88,-6034.56
45457,meter,8715.52,2681.03,-6034.49
45458,meter,8715.59,2681.18,-6034.41
45459,meter,8715.67,2681.33,-6034.34
45460,meter,8715.74,2681.48,-6034.26
45461,meter,8715.82,2681.63,-6034.19
45462,meter,8715.89,2681.79,-6034.1
45463,meter,8715.97,2681.94,-6034.03
45464,meter,8716.04,2682.09,-6033.95
45465,meter,8716.12,2682.24,-6033.88
45466,meter,8716.19,2682.39,-6033.8
45467,meter,8716.27,2682.54,-6033.73
45468,meter,8716.34,2682.69,-6033.65
45469,meter,8716.42,2682.84,-6033.58
45470,meter,8716.5,2682.99,-6033.51
45471,meter,8716.57,2683.14,-6033.43
45472,meter,8716.65,2683.29,-6033.36
45473,meter,8716.72,2683.44,-6033.28
45474,meter,8716.8,2683.59,-6033.21
45475,meter,8716.87,2683.74,-6033.13
45476,meter,8716.95,2683.89,-6033.06
45477,meter,8717.02,2684.04,-6032.98
45478,meter,8717.1,2684.2,-6032.9
45479,meter,8717.17,2684.35,-6032.82
45480,meter,8717.25,2684.5,-6032.75
45481,meter,8717.32,2684.65,-6032.67
45482,meter,8717.4,2684.8,-6032.6
45483,meter,8717.47,2684.95,-6032.52
45484,meter,8717.55,2685.1,-6032.45
45485,meter,8717.62,2685.25,-6032.37
45486,meter,8717.7,2685.4,-6032.3
45487,meter,8717.77,2685.55,-6032.22
45488,meter,8717.85,2685.7,-6032.15
45489,meter,8717.92,2685.85,-6032.07
45490,meter,8718.0,2686.0,-6032.0
45491,meter,8718.07,2686.15,-6031.92
45492,meter,8718.15,2686.3,-6031.85
45493,meter,8718.22,2686.45,-6031.77
45494,meter,8718.3,2686.6,-6031.7
45495,meter,8718.37,2686.75,-6031.62
45496,meter,8718.45,2686.9,-6031.55
45497,meter,8718.52,2687.05,-6031.47
45498,meter,8718.6,2687.2,-6031.4
45499,meter,8718.67,2687.35,-6031.32
45500,meter,8718.75,2687.5,-6031.25
45501,meter,8718.82,2687.65,-6031.17
45502,meter,8718.9,2687.8,-6031.1
45503,meter,8718.97,2687.95,-6031.02
45504,meter,8719.05,2688.1,-6030.95
45505,meter,8719.12,2688.25,-6030.87
45506,meter,8719.2,2688.4,-6030.8
45507,meter,8719.27,2688.55,-6030.72
45508,meter,8719.35,2688.7,-6030.65
45509,meter,8719.42,2688.85,-6030.57
45510,meter,8719.5,2689.0,-6030.5
45511,meter,8719.57,2689.15,-6030.42
45512,meter,8719.65,2689.3,-6030.35
45513,meter,8719.72,2689.45,-6030.27
45514,meter,8719.8,2689.6,-6030.2
45515,meter,8719.87,2689.75,-6030.12
45516,meter,8719.95,2689.9,-6030.05
45517,meter,8720.02,2690.05,-6029.97
45518,meter,8720.1,2690.2,-6029.9
45519,meter,8720.17,2690.35,-6029.82
45520,meter,8720.25,2690.5,-6029.75
45521,meter,8720.32,2690.65,-6029.67
45522,meter,8720.4,2690.8,-6029.6
45523,meter,8720.47,2690.94,-6029.53
45524,meter,8720.55,2691.09,-6029.46
45525,meter,8720.62,2691.24,-6029.38
45526,meter,8720.7,2691.39,-6029.31
45527,meter,8720.77,2691.54,-6029.23
45528,meter,8720.85,2691.69,-6029.16
45529,meter,8720.92,2691.84,-6029.08
45530,meter,8721.0,2691.99,-6029.01
45531,meter,8721.07,2692.14,-6028.93
45532,meter,8721.14,2692.29,-6028.85
45533,meter,8721.22,2692.44,-6028.78
45534,meter,8721.29,2692.59,-6028.7
45535,meter,8721.37,2692.74,-6028.63
45536,meter,8721.44,2692.89,-6028.55
45537,meter,8721.52,2693.04,-6028.48
45538,meter,8721.59,2693.19,-6028.4
45539,meter,8721.67,2693.33,-6028.34
45540,meter,8721.74,2693.48,-6028.26
45541,meter,8721.82,2693.63,-6028.19
45542,meter,8721.89,2693.78,-6028.11
45543,meter,8721.97,2693.93,-6028.04
45544,meter,8722.04,2694.08,-6027.96
45545,meter,8722.11,2694.23,-6027.88
45546,meter,8722.19,2694.38,-6027.81
45547,meter,8722.26,2694.53,-6027.73
45548,meter,8722.34,2694.68,-6027.66
45549,meter,8722.41,2694.83,-6027.58
45550,meter,8722.49,2694.97,-6027.52
45551,meter,8722.56,2695.12,-6027.44
45552,meter,8722.64,2695.27,-6027.37
45553,meter,8722.71,2695.42,-6027.29
45554,meter,8722.79,2695.57,-6027.22
45555,meter,8722.86,2695.72,-6027.14
45556,meter,8722.93,2695.87,-6027.06
45557,meter,8723.01,2696.02,-6026.99
45558,meter,8723.08,2696.17,-6026.91
45559,meter,8723.16,2696.32,-6026.84
45560,meter,8723.23,2696.46,-6026.77
45561,meter,8723.31,2696.61,-6026.7
45562,meter,8723.38,2696.76,-6026.62
45563,meter,8723.46,2696.91,-6026.55
45564,meter,8723.53,2697.06,-6026.47
45565,meter,8723.6,2697.21,-6026.39
45566,meter,8723.68,2697.36,-6026.32
45567,meter,8723.75,2697.51,-6026.24
45568,meter,8723.83,2697.65,-6026.18
45569,meter,8723.9,2697.8,-6026.1
45570,meter,8723.98,2697.95,-6026.03
45571,meter,8724.05,2698.1,-6025.95
45572,meter,8724.12,2698.25,-6025.87
45573,meter,8724.2,2698.4,-6025.8
45574,meter,8724.27,2698.55,-6025.72
45575,meter,8724.35,2698.69,-6025.66
45576,meter,8724.42,2698.84,-6025.58
45577,meter,8724.5,2698.99,-6025.51
45578,meter,8724.57,2699.14,-6025.43
45579,meter,8724.64,2699.29,-6025.35
45580,meter,8724.72,2699.44,-6025.28
45581,meter,8724.79,2699.58,-6025.21
45582,meter,8724.87,2699.73,-6025.14
45583,meter,8724.94,2699.88,-6025.06
45584,meter,8725.01,2700.03,-6024.98
45585,meter,8725.09,2700.18,-6024.91
45586,meter,8725.16,2700.33,-6024.83
45587,meter,8725.24,2700.47,-6024.77
45588,meter,8725.31,2700.62,-6024.69
45589,meter,8725.39,2700.77,-6024.62
45590,meter,8725.46,2700.92,-6024.54
45591,meter,8725.53,2701.07,-6024.46
45592,meter,8725.61,2701.22,-6024.39
45593,meter,8725.68,2701.36,-6024.32
45594,meter,8725.76,2701.51,-6024.25
45595,meter,8725.83,2701.66,-6024.17
45596,meter,8725.9,2701.81,-6024.09
45597,meter,8725.98,2701.96,-6024.02
45598,meter,8726.05,2702.1,-6023.95
45599,meter,8726.13,2702.25,-6023.88
45600,meter,8726.2,2702.4,-6023.8
45601,meter,8726.27,2702.55,-6023.72
45602,meter,8726.35,2702.7,-6023.65
45603,meter,8726.42,2702.84,-6023.58
45604,meter,8726.5,2702.99,-6023.51
45605,meter,8726.57,2703.14,-6023.43
45606,meter,8726.64,2703.29,-6023.35
45607,meter,8726.72,2703.44,-6023.28
45608,meter,8726.79,2703.58,-6023.21
45609,meter,8726.87,2703.73,-6023.14
45610,meter,8726.94,2703.88,-6023.06
45611,meter,8727.01,2704.03,-6022.98
45612,meter,8727.09,2704.17,-6022.92
45613,meter,8727.16,2704.32,-6022.84
45614,meter,8727.24,2704.47,-6022.77
45615,meter,8727.31,2704.62,-6022.69
45616,meter,8727.38,2704.77,-6022.61
45617,meter,8727.46,2704.91,-6022.55
45618,meter,8727.53,2705.06,-6022.47
45619,meter,8727.6,2705.21,-6022.39
45620,meter,8727.68,2705.36,-6022.32
45621,meter,8727.75,2705.5,-6022.25
45622,meter,8727.83,2705.65,-6022.18
45623,meter,8727.9,2705.8,-6022.1
45624,meter,8727.97,2705.95,-6022.02
45625,meter,8728.05,2706.09,-6021.96
45626,meter,8728.12,2706.24,-6021.88
45627,meter,8728.19,2706.39,-6021.8
45628,meter,8728.27,2706.54,-6021.73
45629,meter,8728.34,2706.68,-6021.66
45630,meter,8728.42,2706.83,-6021.59
45631,meter,8728.49,2706.98,-6021.51
45632,meter,8728.56,2707.13,-6021.43
